hour,day,place_type,popularity,area_type,peak_hour,weekend,temp_level,crowd
16,1,0,1,0,0,0,1,0
14,3,0,3,0,0,0,1,2
16,6,1,3,1,0,1,1,2
14,3,2,1,1,0,0,0,1
16,4,2,3,0,0,0,0,1
11,1,1,2,1,0,0,1,0
10,3,0,3,0,0,0,0,1
12,2,0,3,0,0,0,0,1
14,4,1,1,0,0,0,1,1
15,6,0,3,0,0,1,0,2
14,5,1,1,0,0,1,0,2
14,2,1,3,1,0,0,2,1
13,3,2,2,0,0,0,0,2
19,6,0,1,1,1,1,0,2
15,6,1,1,0,0,1,0,1
10,0,2,2,1,0,0,0,1
15,0,0,3,0,0,0,1,1
13,6,0,3,0,0,1,1,2
12,5,0,2,0,0,1,0,2
12,6,0,2,0,0,1,1,2
18,2,1,3,1,1,0,0,1
9,6,1,2,1,0,1,0,1
17,3,2,2,1,1,0,1,2
21,5,0,2,0,0,1,1,2
19,5,1,1,1,1,1,1,2
14,1,0,3,1,0,0,1,1
14,5,1,3,1,0,1,1,2
14,2,2,1,1,0,0,0,0
10,4,0,3,0,0,0,0,1
12,4,2,2,1,0,0,1,1
12,1,1,3,0,0,0,1,2
19,4,0,2,0,1,0,2,2
14,5,0,2,0,0,1,1,2
13,1,0,2,1,0,0,2,0
10,0,0,3,0,0,0,0,1
17,1,2,1,0,1,0,0,1
11,5,2,3,0,0,1,0,2
12,1,1,3,1,0,0,0,1
16,4,0,2,0,0,0,1,0
14,5,1,3,1,0,1,2,2
13,4,0,2,0,0,0,0,1
21,5,2,2,1,0,1,1,2
14,2,0,3,0,0,0,1,1
11,6,1,2,1,0,1,0,2
13,5,0,2,0,0,1,1,2
19,5,1,2,1,1,1,0,2
14,6,0,2,0,0,1,1,2
17,6,1,3,1,1,1,1,2
14,4,0,1,0,0,0,0,1
17,6,0,3,0,1,1,1,2
10,0,1,3,1,0,0,0,1
16,2,0,2,0,0,0,0,0
14,6,2,2,0,0,1,2,1
12,6,0,3,0,0,1,1,2
15,4,2,3,1,0,0,1,1
13,0,1,2,1,0,0,1,1
16,0,0,1,0,0,0,0,1
15,1,0,3,0,0,0,1,1
13,3,1,2,1,0,0,0,1
9,3,2,3,1,0,0,0,1
16,0,0,1,0,0,0,0,1
18,5,0,2,0,1,1,1,2
16,6,2,3,1,0,1,1,1
9,2,2,2,1,0,0,1,1
15,2,0,2,0,0,0,0,0
13,0,0,3,0,0,0,1,1
12,0,1,3,0,0,0,2,2
18,0,0,2,0,1,0,1,1
11,2,0,1,0,0,0,1,0
20,4,0,2,0,0,0,2,1
13,5,1,2,1,0,1,2,2
16,3,0,2,0,0,0,2,0
15,5,0,1,0,0,1,0,1
18,4,0,2,0,1,0,0,2
13,6,0,3,0,0,1,1,2
12,4,0,2,0,0,0,2,1
16,2,0,2,0,0,0,2,0
11,2,0,2,0,0,0,2,0
15,0,1,3,1,0,0,1,2
14,3,0,3,0,0,0,2,1
12,6,0,1,0,0,1,1,2
21,5,0,3,0,0,1,1,2
18,0,2,2,1,1,0,1,2
17,0,2,3,0,1,0,0,2
10,5,1,2,0,0,1,1,2
16,6,0,2,0,0,1,1,2
14,5,0,2,0,0,1,0,2
10,6,0,3,0,0,1,0,2
15,6,1,3,0,0,1,1,2
20,4,2,3,0,0,0,1,2
14,0,2,2,0,0,0,1,1
16,6,1,2,0,0,1,0,1
15,6,0,3,0,0,1,1,2
11,2,0,2,0,0,0,1,1
10,6,0,2,0,0,1,2,2
12,6,1,2,1,0,1,2,2
15,6,0,3,0,0,1,1,2
12,3,1,2,1,0,0,1,0
14,5,1,2,0,0,1,1,2
10,1,2,2,1,0,0,1,1
15,5,1,2,1,0,1,1,2
22,5,0,1,0,0,1,2,0
18,6,1,3,1,1,1,1,2
14,0,1,2,1,0,0,0,1
20,1,0,3,0,0,0,1,2
20,1,0,2,0,0,0,2,1
10,6,0,2,0,0,1,0,2
14,3,1,1,1,0,0,0,0
14,2,0,2,0,0,0,0,1
14,4,0,2,0,0,0,1,2
18,4,0,3,0,1,0,1,2
15,6,1,1,0,0,1,2,0
14,2,0,2,0,0,0,0,1
14,4,0,2,0,0,0,0,1
